input_dim,n_summands,n,n_features,feature_multiplier,iterations,mean_test_error
1,3,500,4,0.05962847939999438,8,7.985677807643638
1,3,500,4,0.05962847939999438,16,5.816247061031012
1,3,500,4,0.05962847939999438,32,5.415112660856793
1,3,500,4,0.05962847939999438,64,5.247656923631784
1,3,500,8,0.11925695879998877,8,6.270180548562466
1,3,500,8,0.11925695879998877,16,5.278172127298304
1,3,500,8,0.11925695879998877,32,4.572969118329698
1,3,500,8,0.11925695879998877,64,4.097136745844617
1,3,500,17,0.2534210374499761,8,8.083470418986948
1,3,500,17,0.2534210374499761,16,6.5977040617995435
1,3,500,17,0.2534210374499761,32,5.445129946996471
1,3,500,17,0.2534210374499761,64,4.501199425459278
1,3,500,34,0.5068420748999523,8,7.154627517721014
1,3,500,34,0.5068420748999523,16,5.924012709706231
1,3,500,34,0.5068420748999523,32,4.933876925331524
1,3,500,34,0.5068420748999523,64,4.258250958461923
1,3,500,67,0.9987770299499059,8,7.127199086883804
1,3,500,67,0.9987770299499059,16,6.1257905679730795
1,3,500,67,0.9987770299499059,32,5.217694503658718
1,3,500,67,0.9987770299499059,64,4.331319666042931
1,3,500,134,1.9975540598998118,8,6.2152023089239
1,3,500,134,1.9975540598998118,16,5.2083307395158425
1,3,500,134,1.9975540598998118,32,4.52790870087146
1,3,500,134,1.9975540598998118,64,4.0267505457943695
1,3,500,268,3.9951081197996237,8,7.293189437712508
1,3,500,268,3.9951081197996237,16,6.090494783308591
1,3,500,268,3.9951081197996237,32,5.084456836971354
1,3,500,268,3.9951081197996237,64,4.2534550341721715
1,3,1000,6,0.0632455532033676,8,5.690849965097804
1,3,1000,6,0.0632455532033676,16,3.8911237147649365
1,3,1000,6,0.0632455532033676,32,3.5555557987809365
1,3,1000,6,0.0632455532033676,64,3.3031583007645504
1,3,1000,12,0.1264911064067352,8,5.294491856790559
1,3,1000,12,0.1264911064067352,16,4.127936340875
1,3,1000,12,0.1264911064067352,32,3.464068503643917
1,3,1000,12,0.1264911064067352,64,2.9465523548188255
1,3,1000,24,0.2529822128134704,8,5.04440420338742
1,3,1000,24,0.2529822128134704,16,3.422780735628353
1,3,1000,24,0.2529822128134704,32,2.886702824789604
1,3,1000,24,0.2529822128134704,64,2.580609630020758
1,3,1000,47,0.49542350009304614,8,5.698125936059679
1,3,1000,47,0.49542350009304614,16,3.971661593932203
1,3,1000,47,0.49542350009304614,32,3.2195575623401202
1,3,1000,47,0.49542350009304614,64,2.7661122421179227
1,3,1000,95,1.001387925719987,8,5.408330315239171
1,3,1000,95,1.001387925719987,16,3.442323261106445
1,3,1000,95,1.001387925719987,32,2.9156990931654203
1,3,1000,95,1.001387925719987,64,2.629320783148509
1,3,1000,190,2.002775851439974,8,5.109042329189775
1,3,1000,190,2.002775851439974,16,3.6267483626124344
1,3,1000,190,2.002775851439974,32,3.08763968670722
1,3,1000,190,2.002775851439974,64,2.743467787107389
1,3,1000,379,3.9950107773460526,8,4.973709478895653
1,3,1000,379,3.9950107773460526,16,3.557740229256453
1,3,1000,379,3.9950107773460526,32,3.045312708806337
1,3,1000,379,3.9950107773460526,64,2.7135808512065323
