method,label,n_train,lambda,excess_risk,fit_seconds,assemble_seconds,solve_seconds,operator_dim,operator_megabytes,n_features,feature_multiplier,filter,matrix_free
exact,exact tikhonov(lam=1e-02),150,0.01,0.015913268721553558,3.077877221017843,0.29498068598331884,2.6488086660101544,1800,25.92,,,,
exact,exact tikhonov(lam=1e-04),150,0.0001,0.005414333011565593,1.741805038007442,0.21422069799154997,1.354777895990992,1800,25.92,,,,
exact,exact tikhonov(lam=1e-05),150,1e-05,0.008883750714257666,3.0656078970059752,0.2179763099993579,2.6705974399810657,1800,25.92,,,,
exact,exact tikhonov(lam=1e-06),150,1e-06,0.0123807219392717,2.6047926239843946,0.23477223300142214,2.214638612989802,1800,25.92,,,,
exact,exact tikhonov(lam=1e-07),150,1e-07,0.013433211924249394,1.1889319809852168,0.22176520101493225,0.7540446250059176,1800,25.92,,,,
exact,exact tikhonov(lam=1e-02),300,0.01,0.015849334188694587,5.3822103140119,0.8296121289895382,4.3398572109872475,3600,103.68,,,,
exact,exact tikhonov(lam=1e-04),300,0.0001,0.004242292847597325,6.3946731420001015,0.6213350940088276,5.463520411023637,3600,103.68,,,,
exact,exact tikhonov(lam=1e-05),300,1e-05,0.006960435032125126,5.146314447018085,0.6695780069858301,4.275291226018453,3600,103.68,,,,
exact,exact tikhonov(lam=1e-06),300,1e-06,0.011109259727976994,3.2488252299954183,0.720356654986972,2.3819908169971313,3600,103.68,,,,
exact,exact tikhonov(lam=1e-07),300,1e-07,0.013052871929630248,5.809667649009498,0.7185885810176842,4.914572052977746,3600,103.68,,,,
exact,exact tikhonov(lam=1e-02),600,0.01,0.015910612431770294,14.045650541986106,3.064111779007362,10.610484208009439,7200,414.72,,,,
exact,exact tikhonov(lam=1e-04),600,0.0001,0.0035536305114176386,13.538292583980365,2.5224934100115206,10.708012305985903,7200,414.72,,,,
exact,exact tikhonov(lam=1e-05),600,1e-05,0.005174668800457856,12.426882269995986,2.6418824520078488,9.437382000003709,7200,414.72,,,,
exact,exact tikhonov(lam=1e-06),600,1e-06,0.0088140471341106,7.004840840003453,2.6626706880051643,4.005269104993204,7200,414.72,,,,
exact,exact tikhonov(lam=1e-07),600,1e-07,0.011580443645570338,8.633300688001327,2.496137820999138,5.808507945999736,7200,414.72,,,,
random_features,"rf tikhonov(lam=1e-02), M=55",150,,0.017325333045960768,0.1999264880141709,0.05880456298473291,0.13915327299037017,495,9.0882,55,0.4989701327891659,tikhonov,False
random_features,"rf tikhonov(lam=1e-04), M=55",150,,0.008367407284427102,0.7560528049943969,0.0955903799913358,0.6585441069910303,495,9.0882,55,0.4989701327891659,tikhonov,False
random_features,"rf tikhonov(lam=1e-05), M=55",150,,0.007573576977538085,0.4898149399959948,0.09481561899883673,0.39321153998025693,495,9.0882,55,0.4989701327891659,tikhonov,False
random_features,"rf tikhonov(lam=1e-06), M=55",150,,0.008484079829231663,0.74563935000333,0.09889031399507076,0.6447172250191215,495,9.0882,55,0.4989701327891659,tikhonov,False
random_features,"rf tikhonov(lam=1e-07), M=55",150,,0.009505748204706215,0.732801822014153,0.06403175299055874,0.6668811640120111,495,9.0882,55,0.4989701327891659,tikhonov,False
random_features,"rf landweber(T=64), M=55",150,,0.017518828358108484,0.6570015519973822,0.042342208995250985,0.22654990400769748,495,7.128,55,0.4989701327891659,landweber,True
random_features,"rf landweber(T=256), M=55",150,,0.015512605141355584,0.026916047994745895,0.01322679198347032,0.01184782400378026,495,9.0882,55,0.4989701327891659,landweber,False
random_features,"rf tikhonov(lam=1e-02), M=110",150,,0.015548453777000341,1.6509204120084178,0.05993433902040124,1.5097008169977926,990,22.0968,110,0.9979402655783318,tikhonov,False
random_features,"rf tikhonov(lam=1e-04), M=110",150,,0.007033770462746141,1.6230279759911355,0.08739882198278792,1.3453006939962506,990,22.0968,110,0.9979402655783318,tikhonov,False
random_features,"rf tikhonov(lam=1e-05), M=110",150,,0.008511674882329723,1.419440442987252,0.07542930101044476,1.172110874002101,990,22.0968,110,0.9979402655783318,tikhonov,False
random_features,"rf tikhonov(lam=1e-06), M=110",150,,0.011391499105544746,1.1349850010010414,0.06258405302651227,0.8955968779919203,990,22.0968,110,0.9979402655783318,tikhonov,False
random_features,"rf tikhonov(lam=1e-07), M=110",150,,0.014585874352101695,1.6866544040094595,0.051923930004704744,1.5463306570018176,990,22.0968,110,0.9979402655783318,tikhonov,False
random_features,"rf landweber(T=64), M=110",150,,0.016039427158242282,1.6310582770092878,0.019125130987958983,1.1918964440119453,990,14.256,110,0.9979402655783318,landweber,True
random_features,"rf landweber(T=256), M=110",150,,0.012285682734180906,2.1432433309964836,0.06105588100035675,1.9319121890002862,990,22.0968,110,0.9979402655783318,landweber,False
random_features,"rf tikhonov(lam=1e-02), M=220",150,,0.015606301802847675,2.6416973570012487,0.10663075899356045,2.3541263879742473,1980,59.8752,220,1.9958805311566636,tikhonov,False
random_features,"rf tikhonov(lam=1e-04), M=220",150,,0.006486528045638341,2.8171874370018486,0.12607076301355846,2.5016153400065377,1980,59.8752,220,1.9958805311566636,tikhonov,False
random_features,"rf tikhonov(lam=1e-05), M=220",150,,0.009415319550947735,2.712334861018462,0.08664584101643413,2.4949446500104386,1980,59.8752,220,1.9958805311566636,tikhonov,False
random_features,"rf tikhonov(lam=1e-06), M=220",150,,0.013927772877818916,2.8603192400187254,0.10957026400137693,2.613357146998169,1980,59.8752,220,1.9958805311566636,tikhonov,False
random_features,"rf tikhonov(lam=1e-07), M=220",150,,0.020016142694721344,2.6790732130175456,0.14437317199190147,2.3716422759753186,1980,59.8752,220,1.9958805311566636,tikhonov,False
random_features,"rf landweber(T=64), M=220",150,,0.01613516384735392,1.824586898990674,0.06743380799889565,1.1716550750134047,1980,28.512,220,1.9958805311566636,landweber,True
random_features,"rf landweber(T=256), M=220",150,,0.012283628965189999,2.5009900460136123,0.056168711016653106,1.900624906993471,1980,28.512,220,1.9958805311566636,landweber,True
random_features,"rf tikhonov(lam=1e-02), M=78",300,,0.017065946407614455,1.3921720960061066,0.12350344200967811,1.1015809529926628,702,24.160032,78,0.5003702332976756,tikhonov,False
random_features,"rf tikhonov(lam=1e-04), M=78",300,,0.005959786429479335,1.380342438002117,0.12335395000991412,1.0658824849815574,702,24.160032,78,0.5003702332976756,tikhonov,False
random_features,"rf tikhonov(lam=1e-05), M=78",300,,0.005662541542052276,1.4210361489967909,0.1325040009978693,1.1054828689957503,702,24.160032,78,0.5003702332976756,tikhonov,False
random_features,"rf tikhonov(lam=1e-06), M=78",300,,0.006754134395718561,1.3258623630099464,0.18864055699668825,0.9301159179885872,702,24.160032,78,0.5003702332976756,tikhonov,False
random_features,"rf tikhonov(lam=1e-07), M=78",300,,0.007868494806929749,1.2212042869941797,0.17668381502153352,0.7848775229940657,702,24.160032,78,0.5003702332976756,tikhonov,False
random_features,"rf landweber(T=64), M=78",300,,0.017476292283249588,1.337378969998099,0.05151399099850096,0.8211489829991478,702,20.2176,78,0.5003702332976756,landweber,True
random_features,"rf landweber(T=256), M=78",300,,0.014670960411887306,2.4275937599886674,0.16465327300829813,2.0915544769959524,702,24.160032,78,0.5003702332976756,landweber,False
random_features,"rf tikhonov(lam=1e-02), M=156",300,,0.015719094305935936,1.9107614919776097,0.21117235600831918,1.5439462400099728,1404,56.204928,156,1.0007404665953512,tikhonov,False
random_features,"rf tikhonov(lam=1e-04), M=156",300,,0.005617728303597771,2.479824458976509,0.1849962780252099,2.1756193850014824,1404,56.204928,156,1.0007404665953512,tikhonov,False
random_features,"rf tikhonov(lam=1e-05), M=156",300,,0.006731373560305257,2.3475329620123375,0.1779682119959034,1.9848008969856892,1404,56.204928,156,1.0007404665953512,tikhonov,False
random_features,"rf tikhonov(lam=1e-06), M=156",300,,0.009007616502422535,1.8132266119937412,0.23868014200706966,1.3539488819951657,1404,56.204928,156,1.0007404665953512,tikhonov,False
random_features,"rf tikhonov(lam=1e-07), M=156",300,,0.0116315933273848,1.7882592120149639,0.1716076729935594,1.434134779003216,1404,56.204928,156,1.0007404665953512,tikhonov,False
random_features,"rf landweber(T=64), M=156",300,,0.01630374710548381,1.3895697469997685,0.06575793100637384,0.9547830469964538,1404,40.4352,156,1.0007404665953512,landweber,True
random_features,"rf landweber(T=256), M=156",300,,0.012705188359724742,1.9909472639847081,0.16651187499519438,1.676585793000413,1404,56.204928,156,1.0007404665953512,landweber,False
random_features,"rf tikhonov(lam=1e-02), M=312",300,,0.015902387658631976,3.5855113639845513,0.3496027189830784,3.073979937005788,2808,143.949312,312,2.0014809331907024,tikhonov,False
random_features,"rf tikhonov(lam=1e-04), M=312",300,,0.005268754546208516,1.4732389290002175,0.3473430399899371,0.9975131099927239,2808,143.949312,312,2.0014809331907024,tikhonov,False
random_features,"rf tikhonov(lam=1e-05), M=312",300,,0.0072401497727929524,2.534819733002223,0.26167609699768946,2.1389596630178858,2808,143.949312,312,2.0014809331907024,tikhonov,False
random_features,"rf tikhonov(lam=1e-06), M=312",300,,0.010238996436073972,3.0865802759944927,0.19379587200819515,2.7701326660171617,2808,143.949312,312,2.0014809331907024,tikhonov,False
random_features,"rf tikhonov(lam=1e-07), M=312",300,,0.01385312339129407,4.08882887501386,0.2969367489858996,3.6170278019853868,2808,143.949312,312,2.0014809331907024,tikhonov,False
random_features,"rf landweber(T=64), M=312",300,,0.01647293592896387,1.61844815601944,0.13992342399433255,1.1385853370011318,2808,80.8704,312,2.0014809331907024,landweber,True
random_features,"rf landweber(T=256), M=312",300,,0.012891255032727077,3.4796164669969585,0.20728579600108787,3.0740313380083535,2808,80.8704,312,2.0014809331907024,landweber,True
random_features,"rf tikhonov(lam=1e-02), M=110",600,,0.015559588885760554,1.4015296240104362,0.25522691701189615,0.99570317499456,990,64.8648,110,0.4989701327891659,tikhonov,False
random_features,"rf tikhonov(lam=1e-04), M=110",600,,0.005034550381735195,1.6411663810140453,0.3141014590219129,1.1651017469994258,990,64.8648,110,0.4989701327891659,tikhonov,False
random_features,"rf tikhonov(lam=1e-05), M=110",600,,0.004664017491914869,2.1104230350174475,0.24884680600371212,1.7215904530021362,990,64.8648,110,0.4989701327891659,tikhonov,False
random_features,"rf tikhonov(lam=1e-06), M=110",600,,0.00538004344405926,2.091293389996281,0.30133112898329273,1.6640321890008636,990,64.8648,110,0.4989701327891659,tikhonov,False
random_features,"rf tikhonov(lam=1e-07), M=110",600,,0.006144981537502344,1.5182031439908314,0.23317627000506036,1.162875729991356,990,64.8648,110,0.4989701327891659,tikhonov,False
random_features,"rf landweber(T=64), M=110",600,,0.0161450485152221,1.2193142010073643,0.051444370998069644,0.9676070369896479,990,57.024,110,0.4989701327891659,landweber,True
random_features,"rf landweber(T=256), M=110",600,,0.012333891011782767,2.1654715029872023,0.2409719760180451,1.7508121930004563,990,64.8648,110,0.4989701327891659,landweber,False
random_features,"rf tikhonov(lam=1e-02), M=220",600,,0.015819521740125134,2.5341648680041544,0.3876556650211569,1.946913201973075,1980,145.4112,220,0.9979402655783318,tikhonov,False
random_features,"rf tikhonov(lam=1e-04), M=220",600,,0.004574733506502576,1.0921813219902106,0.4264768490102142,0.5014782630023547,1980,145.4112,220,0.9979402655783318,tikhonov,False
random_features,"rf tikhonov(lam=1e-05), M=220",600,,0.005175304727838182,2.5933618099952582,0.36062098998809233,2.0283865749952383,1980,145.4112,220,0.9979402655783318,tikhonov,False
random_features,"rf tikhonov(lam=1e-06), M=220",600,,0.006615491897337823,2.5771249159879517,0.4286310589814093,1.9763261070183944,1980,145.4112,220,0.9979402655783318,tikhonov,False
random_features,"rf tikhonov(lam=1e-07), M=220",600,,0.008166056067998946,3.6676051419926807,0.395374482992338,3.08865250099916,1980,145.4112,220,0.9979402655783318,tikhonov,False
random_features,"rf landweber(T=64), M=220",600,,0.016371364162488355,1.9966141959885135,0.2023060460051056,1.2570589540118817,1980,114.048,220,0.9979402655783318,landweber,True
random_features,"rf landweber(T=256), M=220",600,,0.01268553570011082,4.5821835979877505,0.18219344798126258,3.966897941980278,1980,114.048,220,0.9979402655783318,landweber,True
random_features,"rf tikhonov(lam=1e-02), M=441",600,,0.01557692472830462,3.0716417219955474,1.0631649940041825,1.9008876169973519,3969,354.638088,441,2.000416623272929,tikhonov,False
random_features,"rf tikhonov(lam=1e-04), M=441",600,,0.004365793366473442,2.981829658994684,0.8381738659809344,1.9598638169991318,3969,354.638088,441,2.000416623272929,tikhonov,False
random_features,"rf tikhonov(lam=1e-05), M=441",600,,0.005434343773371822,5.071745068009477,0.8859532680071425,3.9930964359955397,3969,354.638088,441,2.000416623272929,tikhonov,False
random_features,"rf tikhonov(lam=1e-06), M=441",600,,0.007699529972581173,2.1722316289960872,0.7992443650146015,1.1864146189764142,3969,354.638088,441,2.000416623272929,tikhonov,False
random_features,"rf tikhonov(lam=1e-07), M=441",600,,0.010082224106221761,7.285228867986007,0.8655334080103785,6.268484042986529,3969,354.638088,441,2.000416623272929,tikhonov,False
random_features,"rf landweber(T=64), M=441",600,,0.01616037459437484,1.6433024599973578,0.2602835150028113,1.0467213980155066,3969,228.6144,441,2.000416623272929,landweber,True
random_features,"rf landweber(T=256), M=441",600,,0.01228499448647395,4.652983447012957,0.30633973600924946,3.9871720330265816,3969,228.6144,441,2.000416623272929,landweber,True
