method,label,n_train,lambda,excess_risk,fit_seconds,assemble_seconds,solve_seconds,operator_dim,operator_megabytes,n_features,feature_multiplier,filter,matrix_free
exact,exact tikhonov(lam=3e-02),150,0.03,0.0929237616808648,0.16776403298717923,0.05403245199704543,0.11195509802200831,900,6.48,,,,
exact,exact tikhonov(lam=1e-02),150,0.01,0.05291820274394166,0.13753191899741068,0.02222518200869672,0.11461135998251848,900,6.48,,,,
exact,exact tikhonov(lam=3e-03),150,0.003,0.031133675586764845,0.13977772198268212,0.023954888980370015,0.11499103598180227,900,6.48,,,,
exact,exact tikhonov(lam=1e-03),150,0.001,0.02434956890946069,0.13671546301338822,0.02004099197802134,0.1159978429786861,900,6.48,,,,
exact,exact tikhonov(lam=3e-04),150,0.0003,0.02704952393209831,0.15493029198842123,0.02841624300344847,0.12555063600302674,900,6.48,,,,
exact,exact tikhonov(lam=1e-04),150,0.0001,0.035273616798060146,0.14759758999571204,0.02126782402046956,0.12564890598878264,900,6.48,,,,
exact,exact tikhonov(lam=3e-05),150,3e-05,0.04814078197561866,0.1442759289930109,0.027517940994584933,0.11593568700482138,900,6.48,,,,
exact,exact tikhonov(lam=3e-02),300,0.03,0.09576751505854988,0.2228468369867187,0.07458918800693937,0.14256506599485874,1800,25.92,,,,
exact,exact tikhonov(lam=1e-02),300,0.01,0.054242510738442086,0.20672886999091133,0.06663184700300917,0.1347038809908554,1800,25.92,,,,
exact,exact tikhonov(lam=3e-03),300,0.003,0.029745714147019674,0.20103482902050018,0.06414011001470499,0.13034453598083928,1800,25.92,,,,
exact,exact tikhonov(lam=1e-03),300,0.001,0.021021334066612742,0.1898328469833359,0.05693208100274205,0.1278641250100918,1800,25.92,,,,
exact,exact tikhonov(lam=3e-04),300,0.0003,0.022667359880712307,0.19246384300640784,0.057755944988457486,0.12902356099220924,1800,25.92,,,,
exact,exact tikhonov(lam=1e-04),300,0.0001,0.02984539904485958,0.19017882097978145,0.06023361600819044,0.12438921400462277,1800,25.92,,,,
exact,exact tikhonov(lam=3e-05),300,3e-05,0.04069140779371288,0.2163438449788373,0.0717578070180025,0.13903474900871515,1800,25.92,,,,
exact,exact tikhonov(lam=3e-02),600,0.03,0.09354435651692539,0.6021648229798302,0.22025458101416007,0.35951674700481817,3600,103.68,,,,
exact,exact tikhonov(lam=1e-02),600,0.01,0.052175496350242524,0.4503361000097357,0.16202494999743067,0.2663002810149919,3600,103.68,,,,
exact,exact tikhonov(lam=3e-03),600,0.003,0.02847780019352369,0.5440497929812409,0.16283901000861079,0.3574918000085745,3600,103.68,,,,
exact,exact tikhonov(lam=1e-03),600,0.001,0.01967410438956766,0.463555414986331,0.1667163179954514,0.2740598430100363,3600,103.68,,,,
exact,exact tikhonov(lam=3e-04),600,0.0003,0.018023570062178695,0.45623492301092483,0.15634876801050268,0.2714426650200039,3600,103.68,,,,
exact,exact tikhonov(lam=1e-04),600,0.0001,0.02067286311913298,0.49705449599423446,0.16305592202115804,0.31056015798822045,3600,103.68,,,,
exact,exact tikhonov(lam=3e-05),600,3e-05,0.026295767450307247,0.4465660270070657,0.16867307701613754,0.2555524350027554,3600,103.68,,,,
random_features,"rf tikhonov(lam=3e-02), M=8",150,,0.1304478057808262,0.0012848559999838471,0.0011262549960520118,0.00014948000898584723,8,0.058112,8,0.6531972647421809,tikhonov,False
